sample_id,condition,mean_expression,n_cells
C03,Ctrl,0.8297719359397888,362
C01,Ctrl,0.7000851035118103,57
C02,Ctrl,0.8211721777915955,147
E01,EuE,0.6601893305778503,922
E02,EuE,0.4358767867088318,827
E03,EuE,0.6187101602554321,488
E04,EuE,0.8164375424385071,197
E05,EuE,0.6116018891334534,182
E06,EuE,0.6154929995536804,715
E07,EuE,0.5719693303108215,688
E08,EuE,0.682214081287384,30
E09,EuE,0.6357366442680359,67
C03,Ctrl,0.7420705556869507,92
C01,Ctrl,0.6189427971839905,14
C02,Ctrl,0.7225683331489563,47
E01,EuE,0.5738000869750977,298
E02,EuE,0.36282384395599365,372
E03,EuE,0.5367252230644226,252
E04,EuE,0.497843861579895,27
E05,EuE,0.4872189462184906,45
E06,EuE,0.577264130115509,254
E07,EuE,0.48407551646232605,209
E08,EuE,0.5521454811096191,11
E09,EuE,0.4541358947753906,38
C03,Ctrl,0.82961505651474,281
C01,Ctrl,0.6829889416694641,35
C02,Ctrl,0.7749606370925903,128
E01,EuE,0.6527630686759949,714
E02,EuE,0.4164927005767822,665
E03,EuE,0.5971490740776062,454
E04,EuE,0.5624151825904846,89
E05,EuE,0.5828356146812439,127
E06,EuE,0.64515620470047,735
E07,EuE,0.564890444278717,557
E08,EuE,0.8523330092430115,11
E09,EuE,0.5168752074241638,43
